file,solver,strategy,rc,status,time_raw,time,nodes,failures,peakDepth,solutions,restarts,initTime,solveTime
test_01,chuffed,wdeg_split,0,,0.008,8.000e-03,91,74,8,48,0,0.008,0.0
test_02,chuffed,wdeg_split,0,,0.007,7.000e-03,65,45,10,16,0,0.007,0.0
test_03,chuffed,wdeg_split,0,,0.007,7.000e-03,91,51,12,0,0,0.007,0.0
test_01,chuffed,ff_min,0,,0.009,9.000e-03,144,96,7,48,0,0.008,0.001
test_02,chuffed,ff_min,0,,0.007,7.000e-03,55,47,5,16,0,0.007,0.0
test_03,chuffed,ff_min,0,,0.008,8.000e-03,99,65,6,0,0,0.007,0.001
test_01,gecode,wdeg_split,0,,0.000928,9.280e-04,255,80,9,48,0,0.0002469,0.0006811
test_02,gecode,wdeg_split,0,,0.0005182,5.182e-04,115,42,8,16,0,0.0002477,0.0002705
test_03,gecode,wdeg_split,0,,0.000463,4.630e-04,147,74,9,0,0,0.000256,0.000207
test_01,gecode,ff_min,0,,0.0009488,9.488e-04,335,120,11,48,0,0.00025,0.0006988
test_02,gecode,ff_min,0,,0.0005443,5.443e-04,147,58,8,16,0,0.0002483,0.000296
test_03,gecode,ff_min,0,,0.0004994,4.994e-04,227,114,11,0,0,0.0002477,0.0002517
